yourlist:M20200502A94466D2655679D1FD8953E075198DA8958C1B8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LHX2	P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406
NEK6	Q9HC98	NEK6_HUMAN	reviewed	Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	NEK6	Homo sapiens (Human)	313
PSMB7	Q99436	PSB7_HUMAN	reviewed	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	PSMB7 Z	Homo sapiens (Human)	277
OLFML2A	Q68BL7	OLM2A_HUMAN	reviewed	Olfactomedin-like protein 2A (Photomedin-1)	OLFML2A UNQ9394/PRO34319	Homo sapiens (Human)	652
WDR38	Q5JTN6	WDR38_HUMAN	reviewed	WD repeat-containing protein 38	WDR38	Homo sapiens (Human)	314
GOLGA1	Q92805	GOGA1_HUMAN	reviewed	Golgin subfamily A member 1 (Golgin-97)	GOLGA1	Homo sapiens (Human)	767
PPP6C	O00743	PPP6_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305
RABEPK	Q7Z6M1	RABEK_HUMAN	reviewed	Rab9 effector protein with kelch motifs (40 kDa Rab9 effector protein) (p40)	RABEPK RAB9P40	Homo sapiens (Human)	372
GAPVD1	Q14C86	GAPD1_HUMAN	reviewed	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	GAPVD1 GAPEX5 KIAA1521 RAP6	Homo sapiens (Human)	1478
MVB12B	Q9H7P6	MB12B_HUMAN	reviewed	Multivesicular body subunit 12B (ESCRT-I complex subunit MVB12B) (Protein FAM125B)	MVB12B C9orf28 FAM125B	Homo sapiens (Human)	319
ZBTB43	O43298	ZBT43_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)	ZBTB43 KIAA0414 ZBTB22B ZNF297B	Homo sapiens (Human)	467
SLC2A8	Q9NY64	GTR8_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)	SLC2A8 GLUT8 GLUTX1	Homo sapiens (Human)	477
ZNF79	Q15937	ZNF79_HUMAN	reviewed	Zinc finger protein 79 (ZNFpT7)	ZNF79	Homo sapiens (Human)	498
LRSAM1	Q6UWE0	LRSM1_HUMAN	reviewed	E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356	Homo sapiens (Human)	723
CFAP157	Q5JU67	CF157_HUMAN	reviewed	Cilia- and flagella-associated protein 157	CFAP157 C9orf117	Homo sapiens (Human)	520
TTC16	Q8NEE8	TTC16_HUMAN	reviewed	Tetratricopeptide repeat protein 16 (TPR repeat protein 16)	TTC16	Homo sapiens (Human)	873
TOR2A	Q5JU69	TOR2A_HUMAN	reviewed	Torsin-2A (Torsin family 2 member A) (Torsin-related protein 1)	TOR2A TORP1 UNQ6408/PRO21181	Homo sapiens (Human)	321
TOR2A	Q8N2E6	TOR2X_HUMAN	reviewed	Prosalusin (Torsin family 2 member A) (Torsin-2A) [Cleaved into: Salusin-alpha; Salusin-beta]	TOR2A HEMBA1005096 PSEC0218	Homo sapiens (Human)	242
SH2D3C	Q8N5H7	SH2D3_HUMAN	reviewed	SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)	SH2D3C NSP3 UNQ272/PRO309/PRO34088	Homo sapiens (Human)	860
FPGS	Q05932	FOLC_HUMAN	reviewed	Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)	FPGS	Homo sapiens (Human)	587
PIP5KL1	Q5T9C9	PI5L1_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (PI(4)P 5-kinase-like protein 1) (PtdIns(4)P-5-kinase-like protein 1) (EC 2.7.1.68)	PIP5KL1	Homo sapiens (Human)	394
DPM2	O94777	DPM2_HUMAN	reviewed	Dolichol phosphate-mannose biosynthesis regulatory protein (Dolichol-phosphate mannose synthase subunit 2) (DPM synthase subunit 2)	DPM2 My026	Homo sapiens (Human)	84
FAM102A	Q5T9C2	F102A_HUMAN	reviewed	Protein FAM102A (Early estrogen-induced gene 1 protein)	FAM102A C9orf132 EEIG1	Homo sapiens (Human)	384
NAIF1	Q69YI7	NAIF1_HUMAN	reviewed	Nuclear apoptosis-inducing factor 1	NAIF1 C9orf90	Homo sapiens (Human)	327
SLC25A25	Q6KCM7	SCMC2_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein SCaMC-2 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25)	SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106	Homo sapiens (Human)	469
PTGES2	Q9H7Z7	PGES2_HUMAN	reviewed	Prostaglandin E synthase 2 (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) (EC 5.3.99.3) [Cleaved into: Prostaglandin E synthase 2 truncated form]	PTGES2 C9orf15 PGES2	Homo sapiens (Human)	377
DNM1	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
GOLGA2	Q08379	GOGA2_HUMAN	reviewed	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)	GOLGA2	Homo sapiens (Human)	1002
COQ4	Q9Y3A0	COQ4_HUMAN	reviewed	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (Coenzyme Q biosynthesis protein 4 homolog)	COQ4 CGI-92	Homo sapiens (Human)	265
SPTAN1	Q13813	SPTN1_HUMAN	reviewed	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)	SPTAN1 NEAS SPTA2	Homo sapiens (Human)	2472
WDR34	Q96EX3	WDR34_HUMAN	reviewed	WD repeat-containing protein 34	WDR34	Homo sapiens (Human)	536
ZDHHC12	Q96GR4	ZDH12_HUMAN	reviewed	Probable palmitoyltransferase ZDHHC12 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 12) (DHHC-12) (Zinc finger protein 400)	ZDHHC12 ZNF400 PSEC0008	Homo sapiens (Human)	267
TBC1D13	Q9NVG8	TBC13_HUMAN	reviewed	TBC1 domain family member 13	TBC1D13	Homo sapiens (Human)	400
ENDOG	Q14249	NUCG_HUMAN	reviewed	Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)	ENDOG	Homo sapiens (Human)	297
SPOUT1	Q5T280	CI114_HUMAN	reviewed	Putative methyltransferase C9orf114 (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (SPOUT domain-containing methyltransferase 1)	SPOUT1 C9orf114	Homo sapiens (Human)	376
LRRC8A	Q8IWT6	LRC8A_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8A (Leucine-rich repeat-containing protein 8A) (Swelling protein 1)	LRRC8A KIAA1437 LRRC8 SWELL1 UNQ221/PRO247	Homo sapiens (Human)	810
NUP188	Q5SRE5	NU188_HUMAN	reviewed	Nucleoporin NUP188 homolog (hNup188)	NUP188 KIAA0169	Homo sapiens (Human)	1749
MIGA2	Q7L4E1	MIGA2_HUMAN	reviewed	Mitoguardin 2 (Protein FAM73B)	MIGA2 C9orf54 FAM73B PSEC0112	Homo sapiens (Human)	593
DOLPP1	Q86YN1	DOPP1_HUMAN	reviewed	Dolichyldiphosphatase 1 (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase 1)	DOLPP1 LSFR2	Homo sapiens (Human)	238
CRAT	P43155	CACP_HUMAN	reviewed	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)	CRAT CAT1	Homo sapiens (Human)	626
PTPA	Q15257	PTPA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (PP2A, subunit B', PR53 isoform) (Phosphotyrosyl phosphatase activator) (PTPA) (Serine/threonine-protein phosphatase 2A regulatory subunit 4) (Serine/threonine-protein phosphatase 2A regulatory subunit B')	PTPA PPP2R4	Homo sapiens (Human)	358
C9orf106	Q8NAJ2	CI106_HUMAN	reviewed	Putative uncharacterized protein C9orf106	C9orf106	Homo sapiens (Human)	232
C9orf50	Q5SZB4	CI050_HUMAN	reviewed	Uncharacterized protein C9orf50	C9orf50	Homo sapiens (Human)	431
ASB6	Q9NWX5	ASB6_HUMAN	reviewed	Ankyrin repeat and SOCS box protein 6 (ASB-6)	ASB6	Homo sapiens (Human)	421
USP20	Q9Y2K6	UBP20_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2) (hVDU2)	USP20 KIAA1003 LSFR3A VDU2	Homo sapiens (Human)	914
FNBP1	Q96RU3	FNBP1_HUMAN	reviewed	Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)	FNBP1 FBP17 KIAA0554	Homo sapiens (Human)	617
GPR107	Q5VW38	GP107_HUMAN	reviewed	Protein GPR107 (Lung seven transmembrane receptor 1)	GPR107 KIAA1624 LUSTR1	Homo sapiens (Human)	600
NCS1	P62166	NCS1_HUMAN	reviewed	Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein)	NCS1 FLUP FREQ	Homo sapiens (Human)	190
HMCN2	Q8NDA2	HMCN2_HUMAN	reviewed	Hemicentin-2	HMCN2	Homo sapiens (Human)	5059
PRDM12	Q9H4Q4	PRD12_HUMAN	reviewed	PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12)	PRDM12 PFM9	Homo sapiens (Human)	367
ABL1	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
FIBCD1	Q8N539	FBCD1_HUMAN	reviewed	Fibrinogen C domain-containing protein 1	FIBCD1 UNQ701/PRO1346	Homo sapiens (Human)	461
LAMC3	Q9Y6N6	LAMC3_HUMAN	reviewed	Laminin subunit gamma-3 (Laminin-12 subunit gamma) (Laminin-14 subunit gamma) (Laminin-15 subunit gamma)	LAMC3	Homo sapiens (Human)	1575
NUP214	P35658	NU214_HUMAN	reviewed	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023	Homo sapiens (Human)	2090
FAM78A	Q5JUQ0	FA78A_HUMAN	reviewed	Protein FAM78A	FAM78A C9orf59	Homo sapiens (Human)	283
PLPP7	Q8NBV4	PLPP7_HUMAN	reviewed	Inactive phospholipid phosphatase 7 (Phosphatidic acid phosphatase type 2 domain-containing protein 3)	PLPP7 C9orf67 PPAPDC3	Homo sapiens (Human)	271
PRRC2B	Q5JSZ5	PRC2B_HUMAN	reviewed	Protein PRRC2B (HLA-B-associated transcript 2-like 1) (Proline-rich coiled-coil protein 2B)	PRRC2B BAT2L BAT2L1 KIAA0515	Homo sapiens (Human)	2229
POMT1	Q9Y6A1	POMT1_HUMAN	reviewed	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)	POMT1	Homo sapiens (Human)	747
UCK1	Q9HA47	UCK1_HUMAN	reviewed	Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1)	UCK1 URK1	Homo sapiens (Human)	277
NTNG2	Q96CW9	NTNG2_HUMAN	reviewed	Netrin-G2 (Laminet-2)	NTNG2 KIAA1857 LMNT2 UNQ9381/PRO34206	Homo sapiens (Human)	530
SETX	Q7Z333	SETX_HUMAN	reviewed	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein) (SEN1 homolog) (Senataxin)	SETX ALS4 KIAA0625 SCAR1	Homo sapiens (Human)	2677
TTF1	P43699	NKX21_HUMAN	reviewed	Homeobox protein Nkx-2.1 (Homeobox protein NK-2 homolog A) (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)	NKX2-1 NKX2A TITF1 TTF1	Homo sapiens (Human)	371
TTF1	Q15361	TTF1_HUMAN	reviewed	Transcription termination factor 1 (TTF-1) (RNA polymerase I termination factor) (Transcription termination factor I) (TTF-I)	TTF1	Homo sapiens (Human)	905
DDX31	Q9H8H2	DDX31_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX31 (EC 3.6.4.13) (DEAD box protein 31) (Helicain)	DDX31	Homo sapiens (Human)	851
RALGDS	Q12967	GNDS_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF)	RALGDS KIAA1308 RGF	Homo sapiens (Human)	914
ABO	P16442	BGAT_HUMAN	reviewed	Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]	ABO	Homo sapiens (Human)	354
SURF6	O75683	SURF6_HUMAN	reviewed	Surfeit locus protein 6	SURF6 SURF-6	Homo sapiens (Human)	361
SURF2	Q15527	SURF2_HUMAN	reviewed	Surfeit locus protein 2 (Surf-2)	SURF2	Homo sapiens (Human)	256
STKLD1	Q8NE28	STKL1_HUMAN	reviewed	Serine/threonine kinase-like domain-containing protein STKLD1 (Serine/threonine kinase-like domain-containing protein 1) (Sugen kinase 071)	STKLD1 C9orf96 SGK071	Homo sapiens (Human)	680
REXO4	Q9GZR2	REXO4_HUMAN	reviewed	RNA exonuclease 4 (EC 3.1.-.-) (Exonuclease XPMC2) (Prevents mitotic catastrophe 2 protein homolog) (hPMC2)	REXO4 PMC2 XPMC2H	Homo sapiens (Human)	422
ADAMTS13	Q76LX8	ATS13_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	ADAMTS13 C9orf8 UNQ6102/PRO20085	Homo sapiens (Human)	1427
CACFD1	Q9UGQ2	FLOWR_HUMAN	reviewed	Calcium channel flower homolog (Calcium channel flower domain-containing protein 1)	CACFD1 C9orf7 PSEC0107 PSEC0248 UNQ3071/PRO9903	Homo sapiens (Human)	172
SLC2A6	Q9UGQ3	GTR6_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 6 (Glucose transporter type 6) (GLUT-6)	SLC2A6 GLUT6	Homo sapiens (Human)	507
MYMK	A6NI61	MYMK_HUMAN	reviewed	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	MYMK TMEM226 TMEM8C	Homo sapiens (Human)	221
ADAMTSL2	Q86TH1	ATL2_HUMAN	reviewed	ADAMTS-like protein 2 (ADAMTSL-2)	ADAMTSL2 KIAA0605	Homo sapiens (Human)	951
DBH	P09172	DOPO_HUMAN	reviewed	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	Homo sapiens (Human)	617
SARDH	Q9UL12	SARDH_HUMAN	reviewed	Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3) (BPR-2)	SARDH DMGDHL1	Homo sapiens (Human)	918
VAV2	P52735	VAV2_HUMAN	reviewed	Guanine nucleotide exchange factor VAV2 (VAV-2)	VAV2	Homo sapiens (Human)	878
LINC00094	A0A1B0GUI7	BRDOS_HUMAN	reviewed	Putative uncharacterized protein BRD3OS (BRD3 opposite strand protein) (Long intergenic non-protein coding RNA 94) (Non-protein coding RNA 94)	BRD3OS LINC00094 NCRNA00094	Homo sapiens (Human)	84
BRD3	Q15059	BRD3_HUMAN	reviewed	Bromodomain-containing protein 3 (RING3-like protein)	BRD3 KIAA0043 RING3L	Homo sapiens (Human)	726
RXRA	P19793	RXRA_HUMAN	reviewed	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	RXRA NR2B1	Homo sapiens (Human)	462
COL5A1	P20908	CO5A1_HUMAN	reviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838
FCN2	Q15485	FCN2_HUMAN	reviewed	Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)	FCN2 FCNL	Homo sapiens (Human)	313
FCN1	O00602	FCN1_HUMAN	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326
GLT6D1	Q7Z4J2	GL6D1_HUMAN	reviewed	Putative glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-) (Galactosyltransferase family 6 domain-containing 1)	GLT6D1 GLTDC1 GT6M7	Homo sapiens (Human)	276
KCNT1	Q5JUK3	KCNT1_HUMAN	reviewed	Potassium channel subfamily T member 1 (KCa4.1)	KCNT1 KIAA1422	Homo sapiens (Human)	1230
UBAC1	Q9BSL1	UBAC1_HUMAN	reviewed	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (E3 ubiquitin-protein ligase subunit KPC2) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)	UBAC1 GBDR1 KPC2 UBADC1	Homo sapiens (Human)	405
NACC2	Q96BF6	NACC2_HUMAN	reviewed	Nucleus accumbens-associated protein 2 (NAC-2) (BTB/POZ domain-containing protein 14A) (Repressor with BTB domain and BEN domain)	NACC2 BTBD14A NAC2 RBB	Homo sapiens (Human)	587
LHX3	Q9UBR4	LHX3_HUMAN	reviewed	LIM/homeobox protein Lhx3 (LIM homeobox protein 3)	LHX3	Homo sapiens (Human)	397
QSOX2	Q6ZRP7	QSOX2_HUMAN	reviewed	Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1)	QSOX2 QSCN6L1 SOXN	Homo sapiens (Human)	698
GPSM1	Q86YR5	GPSM1_HUMAN	reviewed	G-protein-signaling modulator 1 (Activator of G-protein signaling 3)	GPSM1 AGS3	Homo sapiens (Human)	675
DNLZ	Q5SXM8	DNLZ_HUMAN	reviewed	DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein)	DNLZ C9orf151	Homo sapiens (Human)	178
CARD9	Q9H257	CARD9_HUMAN	reviewed	Caspase recruitment domain-containing protein 9 (hCARD9)	CARD9	Homo sapiens (Human)	536
SNAPC4	Q5SXM2	SNPC4_HUMAN	reviewed	snRNA-activating protein complex subunit 4 (SNAPc subunit 4) (Proximal sequence element-binding transcription factor subunit alpha) (PSE-binding factor subunit alpha) (PTF subunit alpha) (snRNA-activating protein complex 190 kDa subunit) (SNAPc 190 kDa subunit)	SNAPC4 SNAP190	Homo sapiens (Human)	1469
SDCCAG3	Q96C92	ENTR1_HUMAN	reviewed	Endosome-associated-trafficking regulator 1 (Antigen NY-CO-3) (Serologically defined colon cancer antigen 3)	ENTR1 SDCCAG3	Homo sapiens (Human)	435
PMPCA,INPP5E	Q10713	MPPA_HUMAN	reviewed	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	PMPCA INPP5E KIAA0123 MPPA	Homo sapiens (Human)	525
INPP5E	Q9NRR6	INP5E_HUMAN	reviewed	Phosphatidylinositol polyphosphate 5-phosphatase type IV (72 kDa inositol polyphosphate 5-phosphatase) (Inositol polyphosphate-5-phosphatase E) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86)	INPP5E	Homo sapiens (Human)	644
SEC16A	O15027	SC16A_HUMAN	reviewed	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357
NOTCH1	P46531	NOTC1_HUMAN	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	Homo sapiens (Human)	2555
FAM69B	Q5VUD6	DIK1B_HUMAN	reviewed	Divergent protein kinase domain 1B (Protein FAM69B)	DIPK1B C9orf136 FAM69B PP6977	Homo sapiens (Human)	431
RABL6	Q3YEC7	RABL6_HUMAN	reviewed	Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1)	RABL6 C9orf86 PARF	Homo sapiens (Human)	729
PHPT1	Q9NRX4	PHP14_HUMAN	reviewed	14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog)	PHPT1 PHP14 CGI-202 HSPC141	Homo sapiens (Human)	125
MAMDC4	Q6UXC1	AEGP_HUMAN	reviewed	Apical endosomal glycoprotein (MAM domain-containing protein 4)	MAMDC4 AEGP UNQ3001/PRO9742	Homo sapiens (Human)	1216
TRAF2	Q12933	TRAF2_HUMAN	reviewed	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)	TRAF2 TRAP3	Homo sapiens (Human)	501
TRAF2	Q92844	TANK_HUMAN	reviewed	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	TANK ITRAF TRAF2	Homo sapiens (Human)	425
FBXW5	Q969U6	FBXW5_HUMAN	reviewed	F-box/WD repeat-containing protein 5 (F-box and WD-40 domain-containing protein 5)	FBXW5 FBW5 PP3971	Homo sapiens (Human)	566
C8G	P07360	CO8G_HUMAN	reviewed	Complement component C8 gamma chain	C8G	Homo sapiens (Human)	202
LCN12	Q6JVE5	LCN12_HUMAN	reviewed	Epididymal-specific lipocalin-12	LCN12	Homo sapiens (Human)	192
PTGDS	P41222	PTGDS_HUMAN	reviewed	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Beta-trace protein) (Cerebrin-28) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)	PTGDS PDS	Homo sapiens (Human)	190
ABCA2	Q9BZC7	ABCA2_HUMAN	reviewed	ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062	Homo sapiens (Human)	2435
SAPCD2	Q86UD0	SAPC2_HUMAN	reviewed	Suppressor APC domain-containing protein 2 (Tumor specificity and mitosis phase-dependent expression protein) (TS/MDEP) (p42.3)	SAPCD2 C9orf140	Homo sapiens (Human)	394
UAP1L1	Q3KQV9	UAP1L_HUMAN	reviewed	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 (EC 2.7.7.-)	UAP1L1	Homo sapiens (Human)	507
GRIN1	Q05586	NMDZ1_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	GRIN1 NMDAR1	Homo sapiens (Human)	938
LRRC26	Q2I0M4	LRC26_HUMAN	reviewed	Leucine-rich repeat-containing protein 26 (BK channel auxiliary gamma subunit LRRC26) (Cytokeratin-associated protein in cancer)	LRRC26 CAPC	Homo sapiens (Human)	334
ANAPC2	Q9UJX6	ANC2_HUMAN	reviewed	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	ANAPC2 APC2 KIAA1406	Homo sapiens (Human)	822
CYSRT1	A8MQ03	CRTP1_HUMAN	reviewed	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144
SLC34A3	Q8N130	NPT2C_HUMAN	reviewed	Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3)	SLC34A3 NPT2C NPTIIC	Homo sapiens (Human)	599
NOXA1	Q86UR1	NOXA1_HUMAN	reviewed	NADPH oxidase activator 1 (NOX activator 1) (Antigen NY-CO-31) (NCF2-like protein) (P67phox-like factor) (p51-nox)	NOXA1 P51NOX	Homo sapiens (Human)	476
ENTPD8	Q5MY95	ENTP8_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 8 (E-NTPDase 8) (NTPDase 8) (NTPDase8) (EC 3.6.1.5)	ENTPD8 UNQ2492/PRO5779	Homo sapiens (Human)	495
PNPLA7	Q6ZV29	PLPL7_HUMAN	reviewed	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5)	PNPLA7 C9orf111	Homo sapiens (Human)	1317
ARRDC1	Q8N5I2	ARRD1_HUMAN	reviewed	Arrestin domain-containing protein 1 (Alpha-arrestin 1)	ARRDC1	Homo sapiens (Human)	433
EHMT1	Q9H9B1	EHMT1_HUMAN	reviewed	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	Homo sapiens (Human)	1298
